tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1983$201,Guaruja,Hard,64,A,19830124,17,100555,1,"",Jose Luis Clerc,R,185,ARG,24.3832991102,6,0,100518,"","",Ricardo Acuna,R,175,CHI,24.9719370294,101,0,6$3 6$0,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,18,100651,"","",Alejandro Ganzabal,R,180,ARG,22.8802190281,92,0,100515,9,"",Shlomo Glickstein,R,188,ISR,24.9911019849,38,0,2$6 7$6 7$6,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,19,100402,"","",Francisco Gonzalez,R,193,PAR,27.1238877481,114,0,100585,12,"",Van Winitsky,L,185,USA,23.8138261465,53,0,7$6 2$6 6$2,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,20,100436,"","",Nick Saviano,L,180,USA,26.5790554415,98,0,100782,7,"",Pablo Arraya,R,180,PER,21.2019164956,36,0,3$6 7$6 6$4,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,21,100653,3,"",Andres Gomez,L,193,ECU,22.8501026694,15,0,100799,"","",Carlos Castellan,R,190,ARG,20.900752909,122,0,6$2 6$4,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,22,100323,"","",Givaldo Barbosa,R,183,BRA,28.93908282,110,0,100661,16,"",Damir Keretic,R,178,GER,22.7734428474,69,0,4$6 6$4 6$3,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,23,100631,14,"",Tim Wilkison,L,180,USA,23.112936345,55,0,100115,"","",Jaime Fillol,R,180,CHI,36.5859000684,77,0,6$3 4$6 6$0,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,24,100599,"","",Bernard Boileau,R,185,BEL,23.6112251882,71,0,100689,6,"",Tim Mayotte,R,190,USA,22.417522245,29,0,7$6 6$0,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,25,100345,"","",Pat Dupre,R,190,USA,28.2984257358,82,0,100393,8,"",Marcos Hocevar,R,185,BRA,27.2717316906,37,0,6$4 3$6 6$2,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,26,100155,"","",Ramiro Benavides,R,,BOL,34.9267624914,209,0,100821,10,"",Hans Simonsson,R,178,SWE,20.6762491444,46,0,6$3 6$3,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,27,101131,"","",Jimmy Brown,R,180,USA,17.6837782341,97,0,100763,"","",Brad Gilbert,R,185,USA,21.401779603,54,0,4$6 6$3 6$1,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,28,100434,4,"",Tomas Smid,R,190,CZE,26.6228610541,23,0,100553,"","",Nduka Odizor,R,183,NGR,24.4024640657,80,0,6$4 6$2,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,29,100640,"","",Stefan Simonsson,R,175,SWE,22.9952087611,105,0,100649,"","",David Dowlen,R,178,USA,22.9158110883,,,6$7 6$2 6$1,3,R32,,,,,,,,,,,,,,,,,,,,1983
